                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9986325976443591E+000          1.5989060781154874E+000          2.7645235194116240E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260329" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb 
                               1          1.0000000000000000E+002          2.7623358451567105E+003          1.2694620819953263E+003          1.0333833678995243E+001          1.2916617427593250E+001          5.0572230792894135E+002          4.5672294675575523E+002         -2.7817983858947914E-001         -1.0000000000000000E+000          1.9985282093267189E+000          1.5989060784477125E+000         -1.1452991069934658E+001         -5.9813481016028565E+000         -1.1478567331158349E+001         -9.8999999999999986E+001         -1.2695663695330046E+001         -5.9813495676302173E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.1825905612996394E-006          3.6267648430722734E+053         -3.5223396713984794E+040          0.0000000000000000E+000         -4.2256096421942020E+025         -2.6687547673459478E+039         -3.2554641946638805E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.1075932164890969E-008          2.6326289141827646E-008 
                               2          1.8000000000000000E+002          2.7620573928778654E+003          1.2693700962553819E+003          1.0334289594985524E+001          1.2916820560628882E+001          5.0568249954250945E+002          4.5669291569337730E+002         -3.0920729972552458E-001         -1.0000000000000000E+000          1.9984714690680097E+000          1.5989060784521301E+000         -1.3232321239040791E+001         -6.1491986753455743E+000         -1.3257897500275762E+001         -9.8999999999999986E+001         -1.4474993864250226E+001         -6.1491987112098245E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.7857629190964331E-008          3.6265590783661315E+053         -8.1503625965701453E+039          0.0000000000000000E+000         -4.2332190091902691E+025         -1.8128013663069404E+039         -6.3375612302631620E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.4865176048689817E-008          2.6328943183421413E-008 
                               3          2.4400000000000000E+002          2.7621640023145278E+003          1.2694007739482790E+003          1.0334188964024120E+001          1.2916585686721993E+001          5.0569377956292738E+002          4.5670486419730037E+002         -3.3301399842571361E-001         -1.0000000000000000E+000          1.9984545898323594E+000          1.5989060784522340E+000         -1.4764990561210118E+001         -6.5788271975917789E+000         -1.4790566822445237E+001         -9.8999999999999986E+001         -1.6007663186417080E+001         -6.5788272004207009E+000         -9.8999999999999986E+001          1.0000000000000000E+000          6.1413008786835789E-009          3.6265807783953921E+053          1.0744256762230508E+039          0.0000000000000000E+000         -4.2341503235080715E+025         -6.7407255643259425E+038          1.7484982326556873E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.6865011845832615E-008          2.6327926982428880E-008 
                               4          2.9519999999999999E+002          2.7623770301330314E+003          1.2694652744800783E+003          1.0333935774751703E+001          1.2916227155116124E+001          5.0571911178748661E+002          4.5672842167114999E+002         -3.4891156677757412E-001         -1.0000000000000000E+000          1.9984480801054392E+000          1.5989060784522706E+000         -1.5117173079321478E+001         -6.8957071904637282E+000         -1.5142749340556604E+001         -9.8999999999999986E+001         -1.6359845704528386E+001         -6.8957071930717939E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.6618433581767004E-009          3.6266643816897190E+053          5.1742744768982491E+039          0.0000000000000000E+000         -4.2337449112450967E+025         -3.2496190662112547E+038          5.4992363835194170E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.8375786940859296E-008          2.6325896636538507E-008 
                               5          3.3615999999999997E+002          2.7625233496688602E+003          1.2695097203835887E+003          1.0333759536116432E+001          1.2915985908274983E+001          5.0573663686250620E+002          4.5674458760936130E+002         -3.5906549125728549E-001         -1.0000000000000000E+000          1.9984448356639335E+000          1.5989060784522757E+000         -1.5893376250543229E+001         -7.1012199993202589E+000         -1.5918952511778356E+001         -9.8999999999999986E+001         -1.7136048875750113E+001         -7.1012200000211134E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5214843429274521E-009          3.6267236161859064E+053          4.5825876874949085E+039          0.0000000000000000E+000         -4.2329714143288440E+025         -2.0245619529510620E+038          4.7850438827900572E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.9446841923657127E-008          2.6324502261726579E-008 
                               6          3.6892800000000000E+002          2.7626841150866535E+003          1.2695587457997099E+003          1.0333562780483451E+001          1.2915727517657560E+001          5.0575605960736704E+002          4.5676233016778315E+002         -3.6626238716380527E-001         -1.0000000000000000E+000          1.9984429063148208E+000          1.5989060784522762E+000         -1.6667137478437645E+001         -7.2300391152903964E+000         -1.6692713739672772E+001         -9.8999999999999986E+001         -1.7909810103644528E+001         -7.2300391154491370E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.4460801613667935E-010          3.6267911143585667E+053          6.5273682328711323E+039          0.0000000000000000E+000         -4.2324414268125046E+025         -1.5049422267216396E+038          6.6778624555433382E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.0223499739599724E-008          2.6322970392925075E-008 
                               7          3.9514240000000001E+002          2.7628344203235374E+003          1.2696046451333477E+003          1.0333377788617538E+001          1.2915488192595381E+001          5.0577427463917638E+002          4.5677891158642313E+002         -3.7121820892708890E-001         -1.0000000000000000E+000          1.9984416518736541E+000          1.5989060784522762E+000         -1.7234546640167032E+001         -7.3200896242118940E+000         -1.7260122901402156E+001         -9.8999999999999986E+001         -1.8477219265373915E+001         -7.3200896242647779E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1480656492468243E-010          3.6268550306036987E+053          7.7262252368308611E+039          0.0000000000000000E+000         -4.2318623301768477E+025         -1.2231448505124991E+038          7.8485397218821533E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.0769444506814466E-008          2.6321538356219839E-008 
                               8          4.1783174637278910E+002          2.7629753814439186E+003          1.2696477177540576E+003          1.0333203861783630E+001          1.2915264712828847E+001          5.0579138097274836E+002          4.5679445917642909E+002         -3.7514849672825190E-001         -1.0000000000000000E+000          1.9984407092301151E+000          1.5989060784522762E+000         -1.7639090840031781E+001         -7.3814744898139475E+000         -1.7664667101266904E+001         -9.8999999999999986E+001         -1.8881763465238663E+001         -7.3814744898379452E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.2096361028113471E-011          3.6269153168611013E+053          8.4196176794435354E+039          0.0000000000000000E+000         -4.2313218586031004E+025         -1.0619425637417712E+038          8.5258119358177547E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1205613115385932E-008          2.6320195487382946E-008 
                               9          4.3979136712561115E+002          2.7631189343280485E+003          1.2696915984702744E+003          1.0333026474074764E+001          1.2915037724381625E+001          5.0580881627358866E+002          4.5681029068159677E+002         -3.7847085955090715E-001         -1.0000000000000000E+000          1.9984398929746541E+000          1.5989060784522762E+000         -1.7964822303002759E+001         -7.4297987356203361E+000         -1.7990398564237886E+001         -9.8999999999999986E+001         -1.9207494928209641E+001         -7.4297987356330060E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.7504273084110785E-011          3.6269769218957417E+053          8.8897061085425882E+039          0.0000000000000000E+000         -4.2308153360387135E+025         -9.5013275291639785E+037          8.9847193838342702E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1577890314117792E-008          2.6318828068874053E-008 
